,date,total_rides
521,08/04/2021,673134
522,08/05/2021,684964
523,08/06/2021,701830
524,08/07/2021,576592
525,08/08/2021,410997
526,08/09/2021,575067
527,08/10/2021,637315
528,08/11/2021,622926
529,08/12/2021,661821
530,08/13/2021,673649
531,08/14/2021,547055
532,08/15/2021,426829
533,08/16/2021,618572
534,08/17/2021,644414
535,08/18/2021,652995
536,08/19/2021,664920
537,08/20/2021,697684
538,08/21/2021,530910
539,08/22/2021,433663
540,08/23/2021,653156
541,08/24/2021,642389
542,08/25/2021,677294
543,08/26/2021,705056
544,08/27/2021,713692
545,08/28/2021,523217
546,08/29/2021,395523
547,08/30/2021,735440
548,08/31/2021,752396
549,09/01/2021,786855
550,09/02/2021,783462
551,09/03/2021,793784
552,09/04/2021,538601
553,09/05/2021,471086
554,09/06/2021,421531
555,09/07/2021,737792
556,09/08/2021,800202
557,09/09/2021,798224
558,09/10/2021,825188
559,09/11/2021,569030
560,09/12/2021,422909
561,09/13/2021,747081
562,09/14/2021,780777
563,09/15/2021,801918
564,09/16/2021,832749
565,09/17/2021,846885
566,09/18/2021,593149
567,09/19/2021,442578
568,09/20/2021,742199
569,09/21/2021,771541
570,09/22/2021,773405
571,09/23/2021,791811
572,09/24/2021,829102
573,09/25/2021,597442
574,09/26/2021,410338
575,09/27/2021,756666
576,09/28/2021,790121
577,09/29/2021,794320
578,09/30/2021,796270
579,10/01/2021,829499
580,10/02/2021,531967
581,10/03/2021,397884
582,10/04/2021,750825
583,10/05/2021,787010
584,10/06/2021,792160
585,10/07/2021,771505
586,10/08/2021,809903
587,10/09/2021,583425
588,10/10/2021,506982
589,10/11/2021,604747
590,10/12/2021,807249
591,10/13/2021,780571
592,10/14/2021,803451
593,10/15/2021,794472
594,10/16/2021,567907
595,10/17/2021,416315
596,10/18/2021,750904
597,10/19/2021,790465
598,10/20/2021,794609
599,10/21/2021,779418
600,10/22/2021,774976
601,10/23/2021,533292
602,10/24/2021,316416
603,10/25/2021,654345
604,10/26/2021,797971
605,10/27/2021,802905
606,10/28/2021,776307
607,10/29/2021,715693
608,10/30/2021,525069
609,10/31/2021,386661
610,11/01/2021,753933
611,11/02/2021,783030
612,11/03/2021,808799
613,11/04/2021,797070
614,11/05/2021,716689
615,11/06/2021,514680
616,11/07/2021,388931
617,11/08/2021,763790
618,11/09/2021,790124
619,11/10/2021,807188
620,11/11/2021,636519
621,11/12/2021,684176
622,11/13/2021,485237
623,11/14/2021,344976
624,11/15/2021,720657
625,11/16/2021,784981
626,11/17/2021,747933
627,11/18/2021,728169
628,11/19/2021,780449
629,11/20/2021,547791
630,11/21/2021,393554
631,11/22/2021,716231
632,11/23/2021,737838
633,11/24/2021,617143
634,11/25/2021,239788
635,11/26/2021,447394
636,11/27/2021,424904
637,11/28/2021,332647
638,11/29/2021,697412
639,11/30/2021,752579
640,12/01/2021,773688
641,12/02/2021,790583
642,12/03/2021,780573
643,12/04/2021,519873
644,12/05/2021,326362
645,12/06/2021,698222
646,12/07/2021,699173
647,12/08/2021,740540
648,12/09/2021,752245
649,12/10/2021,722722
650,12/11/2021,475463
651,12/12/2021,365669
652,12/13/2021,697670
653,12/14/2021,737234
654,12/15/2021,741191
655,12/16/2021,722250
656,12/17/2021,687475
657,12/18/2021,440116
658,12/19/2021,344227
659,12/20/2021,581951
660,12/21/2021,568685
661,12/22/2021,523693
662,12/23/2021,504753
663,12/24/2021,334291
664,12/25/2021,165197
665,12/26/2021,266627
666,12/27/2021,447549
667,12/28/2021,441438
668,12/29/2021,486158
669,12/30/2021,489875
670,12/31/2021,390632
671,01/01/2022,232054
672,01/02/2022,255170
673,01/03/2022,493620
674,01/04/2022,546126
675,01/05/2022,438857
676,01/06/2022,432448
677,01/07/2022,418258
678,01/08/2022,324413
679,01/09/2022,241743
680,01/10/2022,449749
681,01/11/2022,490178
682,01/12/2022,578558
