,date,total_rides
413,06/13/2024,27214
414,06/12/2024,24335
415,06/11/2024,23043
416,06/10/2024,22255
417,06/09/2024,31377
418,06/08/2024,48794
419,06/07/2024,28641
420,06/06/2024,18856
421,06/05/2024,23277
422,06/04/2024,24998
423,06/03/2024,22209
424,06/02/2024,37360
425,06/01/2024,50458
426,05/31/2024,25597
427,05/30/2024,21638
428,05/29/2024,22762
429,05/28/2024,25492
430,05/27/2024,11390
431,05/26/2024,50701
432,05/25/2024,48242
433,05/24/2024,29679
434,05/23/2024,18985
435,05/22/2024,27343
436,05/21/2024,25610
437,05/20/2024,21717
438,05/19/2024,31143
439,05/18/2024,25870
440,05/17/2024,22411
441,05/16/2024,17716
442,05/15/2024,15292
443,05/14/2024,20653
444,05/13/2024,18835
445,05/12/2024,12599
446,05/11/2024,29153
447,05/10/2024,12081
448,05/09/2024,18988
449,05/08/2024,21570
450,05/07/2024,26737
451,05/06/2024,18017
452,05/05/2024,10041
453,05/04/2024,25631
454,05/03/2024,18607
455,05/02/2024,22712
456,05/01/2024,22080
457,04/30/2024,18565
458,04/29/2024,27990
459,04/28/2024,37033
460,04/27/2024,22563
461,04/26/2024,26600
462,04/25/2024,31975
463,04/24/2024,20171
464,04/23/2024,20838
465,04/22/2024,19768
466,04/21/2024,15276
467,04/20/2024,27049
468,04/19/2024,15473
469,04/18/2024,13152
470,04/17/2024,15982
471,04/16/2024,22096
472,04/15/2024,21182
473,04/14/2024,25417
474,04/13/2024,13174
475,04/12/2024,12219
476,04/11/2024,13882
477,04/10/2024,17909
478,04/09/2024,21978
479,04/08/2024,15373
480,04/07/2024,19550
481,04/06/2024,19750
482,04/05/2024,13523
483,04/04/2024,15109
484,04/03/2024,8701
485,04/02/2024,11492
486,04/01/2024,12955
487,03/31/2024,22277
488,03/30/2024,29558
489,03/29/2024,19227
490,03/28/2024,11352
491,03/27/2024,15572
492,03/26/2024,16496
493,03/25/2024,15846
494,03/24/2024,12981
495,03/23/2024,2860
496,03/22/2024,12479
497,03/21/2024,13309
498,03/20/2024,14135
499,03/19/2024,14133
500,03/18/2024,13363
501,03/17/2024,16054
502,03/16/2024,19557
503,03/15/2024,16200
504,03/14/2024,20449
505,03/13/2024,17546
506,03/12/2024,18552
507,03/11/2024,10283
508,03/10/2024,9056
509,03/09/2024,6487
510,03/08/2024,15965
511,03/07/2024,13875
512,03/06/2024,11668
513,03/05/2024,11254
514,03/04/2024,13707
515,03/03/2024,20253
516,03/02/2024,3771
517,03/01/2024,12363
518,02/29/2024,12691
519,02/28/2024,12073
520,02/27/2024,13625
521,02/26/2024,11699
522,02/25/2024,8270
523,02/24/2024,11221
524,02/23/2024,10277
525,02/22/2024,12826
526,02/21/2024,13011
527,02/20/2024,12848
528,02/19/2024,8704
529,02/18/2024,8696
530,02/17/2024,6536
531,02/16/2024,11276
532,02/15/2024,12812
533,02/14/2024,12965
534,02/13/2024,5158
535,02/12/2024,12196
536,02/11/2024,8222
537,02/10/2024,13315
538,02/09/2024,12746
539,02/08/2024,13866
540,02/07/2024,13902
541,02/06/2024,13720
542,02/05/2024,11585
543,02/04/2024,9209
544,02/03/2024,11069
545,02/02/2024,9819
546,02/01/2024,12657
547,01/31/2024,12710
548,01/30/2024,12768
549,01/29/2024,10822
550,01/28/2024,3703
551,01/27/2024,10070
552,01/26/2024,10500
553,01/25/2024,11939
554,01/24/2024,11035
555,01/23/2024,12117
556,01/22/2024,10361
557,01/21/2024,4739
558,01/20/2024,5277
