,date,total_rides
465,04/22/2024,751180
466,04/21/2024,395730
467,04/20/2024,612892
468,04/19/2024,723942
469,04/18/2024,818855
470,04/17/2024,816518
471,04/16/2024,806703
472,04/15/2024,735665
473,04/14/2024,456193
474,04/13/2024,580457
475,04/12/2024,769118
476,04/11/2024,829594
477,04/10/2024,857337
478,04/09/2024,862014
479,04/08/2024,743889
480,04/07/2024,476531
481,04/06/2024,572840
482,04/05/2024,796618
483,04/04/2024,895002
484,04/03/2024,810666
485,04/02/2024,830430
486,04/01/2024,746694
487,03/31/2024,418945
488,03/30/2024,642854
489,03/29/2024,789885
490,03/28/2024,795135
491,03/27/2024,783015
492,03/26/2024,872836
493,03/25/2024,801290
494,03/24/2024,504257
495,03/23/2024,470867
496,03/22/2024,794199
497,03/21/2024,849080
498,03/20/2024,890609
499,03/19/2024,847248
500,03/18/2024,747438
501,03/17/2024,430637
502,03/16/2024,602503
503,03/15/2024,713869
504,03/14/2024,831325
505,03/13/2024,860699
506,03/12/2024,840275
507,03/11/2024,712894
508,03/10/2024,368515
509,03/09/2024,437804
510,03/08/2024,743598
511,03/07/2024,817322
512,03/06/2024,804036
513,03/05/2024,800038
514,03/04/2024,724592
515,03/03/2024,392970
516,03/02/2024,442179
517,03/01/2024,741586
518,02/29/2024,805967
519,02/28/2024,798345
520,02/27/2024,825235
521,02/26/2024,761293
522,02/25/2024,365022
523,02/24/2024,420576
524,02/23/2024,721357
525,02/22/2024,801150
526,02/21/2024,828778
527,02/20/2024,810069
528,02/19/2024,403551
529,02/18/2024,378690
530,02/17/2024,385738
531,02/16/2024,685804
532,02/15/2024,790180
533,02/14/2024,835752
534,02/13/2024,774056
535,02/12/2024,710473
536,02/11/2024,350485
537,02/10/2024,436813
538,02/09/2024,732074
539,02/08/2024,801912
540,02/07/2024,831202
541,02/06/2024,825395
542,02/05/2024,727206
543,02/04/2024,359507
544,02/03/2024,412334
545,02/02/2024,722224
546,02/01/2024,808667
547,01/31/2024,818922
548,01/30/2024,812114
