"service_date","day_type","bus","rail_boardings","total_rides"
"11/11/2020","W","286,362","147,595","433,957"
"11/12/2020","W","305,497","158,496","463,993"
"11/13/2020","W","305,354","159,535","464,889"
"11/14/2020","A","206,691","104,500","311,191"
"11/15/2020","U","136,434","75,619","212,053"
"11/16/2020","W","282,290","140,661","422,951"
"11/17/2020","W","279,757","140,971","420,728"
"11/18/2020","W","285,245","143,331","428,576"
"11/19/2020","W","292,548","148,286","440,834"
"11/20/2020","W","297,292","149,612","446,904"
"11/21/2020","A","206,379","100,672","307,051"
"11/22/2020","U","146,562","74,926","221,488"
"11/23/2020","W","283,365","138,635","422,000"
"11/24/2020","W","264,500","135,119","399,619"
"11/25/2020","W","267,787","131,704","399,491"
"11/26/2020","U","119,470","56,839","176,309"
"11/27/2020","W","221,878","106,692","328,570"
"11/28/2020","A","198,860","97,141","296,001"
"11/29/2020","U","145,682","76,276","221,958"
"11/30/2020","W","255,801","130,426","386,227"
"12/01/2020","W","290,906","138,364","429,270"
"12/02/2020","W","289,930","137,598","427,528"
"12/03/2020","W","301,357","142,080","443,437"
"12/04/2020","W","297,160","144,348","441,508"
"12/05/2020","A","206,508","100,869","307,377"
"12/06/2020","U","144,322","74,099","218,421"
"12/07/2020","W","272,363","133,537","405,900"
"12/08/2020","W","277,139","137,145","414,284"
"12/09/2020","W","293,699","143,390","437,089"
"12/10/2020","W","297,368","144,459","441,827"
"12/11/2020","W","277,727","138,386","416,113"
"12/12/2020","A","181,545","92,521","274,066"
"12/13/2020","U","150,344","78,380","228,724"
"12/14/2020","W","269,583","135,394","404,977"
"12/15/2020","W","273,075","137,120","410,195"
"12/16/2020","W","269,375","138,422","407,797"
"12/17/2020","W","273,791","139,375","413,166"
"12/18/2020","W","284,841","144,568","429,409"
"12/19/2020","A","201,406","101,970","303,376"
"12/20/2020","U","157,805","80,063","237,868"
"12/21/2020","W","280,892","137,696","418,588"
"12/22/2020","W","289,292","140,759","430,051"
"12/23/2020","W","283,137","138,325","421,462"
"12/24/2020","W","201,261","92,528","293,789"
"12/25/2020","U","80,783","40,861","121,644"
"12/26/2020","A","170,294","81,793","252,087"
"12/27/2020","U","139,350","72,363","211,713"
"12/28/2020","W","259,552","125,317","384,869"
"12/29/2020","W","253,437","128,558","381,995"
"12/30/2020","W","244,219","126,447","370,666"
"12/31/2020","W","254,787","114,338","369,125"
"01/01/2021","U","114,115","62,077","176,192"
"01/02/2021","A","186,877","91,034","277,911"
"01/03/2021","U","140,440","72,391","212,831"
"01/04/2021","W","282,862","132,124","414,986"
"01/05/2021","W","281,724","134,514","416,238"
"01/06/2021","W","278,317","136,069","414,386"
"01/07/2021","W","270,340","135,092","405,432"
"01/08/2021","W","272,827","137,181","410,008"
"01/09/2021","A","205,370","101,095","306,465"
"01/10/2021","U","145,412","71,867","217,279"
"01/11/2021","W","262,355","129,615","391,970"
"01/12/2021","W","277,882","136,866","414,748"
"01/13/2021","W","282,529","140,007","422,536"
"01/14/2021","W","275,747","137,634","413,381"
"01/15/2021","W","277,928","139,988","417,916"
"01/16/2021","A","193,303","96,530","289,833"
"01/17/2021","U","143,923","72,570","216,493"
"01/18/2021","W","227,108","113,727","340,835"
"01/19/2021","W","270,497","137,227","407,724"
"01/20/2021","W","257,638","131,313","388,951"
"01/21/2021","W","287,899","144,085","431,984"
"01/22/2021","W","264,517","138,811","403,328"
"01/23/2021","A","190,988","96,503","287,491"
"01/24/2021","U","141,538","71,996","213,534"
"01/25/2021","W","265,782","135,618","401,400"
"01/26/2021","W","233,767","127,803","361,570"
"01/27/2021","W","262,570","138,610","401,180"
"01/28/2021","W","265,152","140,259","405,411"
"01/29/2021","W","285,439","148,439","433,878"
