Date,Whitehall Terminal,St. George Terminal
04/23/2022,15982,15462
04/24/2022,13717,12756
04/25/2022,18638,18563
04/26/2022,18122,17777
04/27/2022,19290,19112
04/28/2022,19603,19414
04/29/2022,20402,20759
04/30/2022,17907,17821
05/01/2022,16446,39265
05/02/2022,16986,16752
05/03/2022,21648,21668
05/04/2022,18300,17960
05/05/2022,22349,22431
05/06/2022,17304,17184
05/07/2022,10495,9687
05/08/2022,12894,12055
05/09/2022,21919,22061
05/10/2022,21465,20370
05/11/2022,20435,20112
05/12/2022,20843,21228
05/13/2022,19618,19720
05/14/2022,15037,14433
05/15/2022,16055,15109
05/16/2022,18345,18144
05/17/2022,21862,21936
05/18/2022,20621,20441
05/19/2022,19593,18654
05/20/2022,20784,20741
05/21/2022,20771,20315
05/22/2022,17512,16501
05/23/2022,21307,21252
05/24/2022,20512,20204
05/25/2022,21270,21099
05/26/2022,21321,21012
05/27/2022,20386,19889
05/28/2022,17027,16674
05/29/2022,22589,22914
05/30/2022,20087,19247
05/31/2022,20687,20674
06/01/2022,19824,19332
06/02/2022,19568,19929
06/03/2022,21372,21420
06/04/2022,19386,18910
06/05/2022,16841,15865
06/06/2022,22129,21969
06/07/2022,21545,21078
06/08/2022,21464,21528
06/09/2022,20581,20371
06/10/2022,22239,22463
06/11/2022,18421,17718
06/12/2022,13400,12177
06/13/2022,22525,22317
06/14/2022,22100,21603
06/15/2022,21795,21547
06/16/2022,20033,19696
06/17/2022,22288,22283
06/18/2022,18178,17527
06/19/2022,18128,17029
06/20/2022,19869,19650
06/21/2022,21001,20808
06/22/2022,18894,18543
06/23/2022,20647,20805
06/24/2022,22618,22646
06/25/2022,20760,20461
06/26/2022,18859,18464
06/27/2022,19541,18672
06/28/2022,23813,23761
06/29/2022,23110,22515
06/30/2022,22915,22504
07/01/2022,22934,22482
07/02/2022,19880,18992
07/03/2022,22144,21146
07/04/2022,19165,19044
07/05/2022,22155,21456
07/06/2022,23358,23112
07/07/2022,22978,22658
07/08/2022,21800,21614
07/09/2022,20916,20504
07/10/2022,19158,18051
07/11/2022,23025,22752
07/12/2022,22721,22341
07/13/2022,23047,22632
07/14/2022,23286,22888
07/15/2022,23396,23470
07/16/2022,20184,19506
07/17/2022,18638,17735
07/18/2022,19846,19518
07/19/2022,24272,23886
07/20/2022,23118,22924
07/21/2022,21653,21577
07/22/2022,22765,22768
07/23/2022,20600,19716
07/24/2022,17918,16908
07/25/2022,20858,20380
07/26/2022,24770,24285
07/27/2022,24023,23523
07/28/2022,22688,22324
07/29/2022,22907,22796
07/30/2022,22453,21858
07/31/2022,19139,17853
08/01/2022,20377,19959
08/02/2022,24477,24198
08/03/2022,18492,21588
08/04/2022,19487,16831
08/05/2022,21976,21818
08/06/2022,20402,19728
08/07/2022,17348,16398
08/08/2022,22861,22510
08/09/2022,22042,21589
08/10/2022,22741,22303
08/11/2022,22314,22166
08/12/2022,23667,23594
08/13/2022,22467,21795
08/14/2022,19476,18210
08/15/2022,22650,22373
08/16/2022,23218,22822
08/17/2022,22006,21653
08/18/2022,23045,22734
08/19/2022,22970,23039
08/20/2022,21194,20720
08/21/2022,18040,17995
08/22/2022,18755,18439
08/23/2022,22407,22320
08/24/2022,23046,22694
08/25/2022,23330,22937
08/26/2022,21205,21545
