Date,Boardings
12/17/2023,5304
12/16/2023,14429
12/15/2023,13728
12/14/2023,13457
12/13/2023,14487
12/12/2023,14669
12/11/2023,10863
12/10/2023,4153
12/09/2023,14951
12/08/2023,14478
12/07/2023,13458
12/06/2023,14191
12/05/2023,14818
12/04/2023,14009
12/03/2023,3749
12/02/2023,14624
12/01/2023,11175
11/30/2023,14314
11/29/2023,13251
11/28/2023,13080
11/27/2023,12969
11/26/2023,6545
11/25/2023,10620
11/24/2023,11410
11/23/2023,6390
11/22/2023,11815
11/21/2023,12163
11/20/2023,13641
11/19/2023,14035
11/18/2023,13787
11/17/2023,15639
11/16/2023,16314
11/15/2023,15611
11/14/2023,15087
11/13/2023,13411
11/12/2023,11193
11/11/2023,16096
11/10/2023,14068
11/09/2023,15955
11/08/2023,16122
11/07/2023,17845
11/06/2023,15254
11/05/2023,17313
11/04/2023,16459
11/03/2023,17117
11/02/2023,17524
11/01/2023,15568
10/31/2023,17138
10/30/2023,14385
10/29/2023,7795
10/28/2023,41313
10/27/2023,21247
10/26/2023,22892
10/25/2023,21714
10/24/2023,18973
10/23/2023,17937
10/22/2023,22806
10/21/2023,16688
10/20/2023,10976
10/19/2023,21310
10/18/2023,19606
10/17/2023,19338
10/16/2023,17467
10/15/2023,21984
10/14/2023,8046
10/13/2023,21558
10/12/2023,21466
10/11/2023,21279
10/10/2023,18895
10/09/2023,18221
10/08/2023,24336
10/07/2023,9908
10/06/2023,14819
10/05/2023,34759
10/04/2023,37834
10/03/2023,38245
10/02/2023,34275
10/01/2023,30295
09/30/2023,16591
09/29/2023,11733
09/28/2023,17134
09/27/2023,20955
09/26/2023,14376
09/25/2023,8810
09/24/2023,6505
09/23/2023,5174
09/22/2023,21809
09/21/2023,23481
09/20/2023,22964
09/19/2023,19372
09/18/2023,11832
09/17/2023,27168
09/16/2023,31773
09/15/2023,21789
09/14/2023,23482
09/13/2023,18331
09/12/2023,23439
09/11/2023,17422
09/10/2023,13646
09/09/2023,25130
09/08/2023,16998
09/07/2023,21693
09/06/2023,22510
09/05/2023,21195
09/04/2023,36514
09/03/2023,47336
09/02/2023,44686
09/01/2023,27237
08/31/2023,26024
08/30/2023,21233
08/29/2023,20709
08/28/2023,20164
08/27/2023,41750
08/26/2023,40639
08/25/2023,13345
08/24/2023,16689
08/23/2023,26673
08/22/2023,26547
08/21/2023,23769
08/20/2023,45257
08/19/2023,47225
08/18/2023,25922
08/17/2023,23666
08/16/2023,25083
08/15/2023,21507
08/14/2023,23118
08/13/2023,45768
08/12/2023,40616
08/11/2023,27274
08/10/2023,14626
08/09/2023,28072
08/08/2023,23608
08/07/2023,15406
08/06/2023,46620
08/05/2023,48959
08/04/2023,19406
08/03/2023,25201
08/02/2023,26812
08/01/2023,26327
07/31/2023,23231
07/30/2023,50761
07/29/2023,37992
07/28/2023,24641
07/27/2023,23426
07/26/2023,27808
07/25/2023,19758
07/24/2023,23733
07/23/2023,45407
07/22/2023,52427
07/21/2023,21355
07/20/2023,25958
07/19/2023,20680
07/18/2023,18772
07/17/2023,25371
07/16/2023,9969
07/15/2023,41177
07/14/2023,18800
07/13/2023,24858
07/12/2023,25177
07/11/2023,27018
07/10/2023,21079
07/09/2023,23327
07/08/2023,40296
07/07/2023,27164
